Gene ID	source_id	Product Description	Gene Name or Symbol	gene_source_id	P. falciparum Su Seven Stages RNA Seq data - Ring - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Early Trophozoite - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Late Trophozoite - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Schizont - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte II - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte V - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Ookinete - unique (3D7 7Stages RNA-Seq)	
PF3D7_1444700	PF3D7_1444700.1	shikimate dehydrogenase, putative	N/A	PF3D7_1444700	22.41	6.01	34.57	11.04	53.34	43.37	45.07	
PF3D7_1444800	PF3D7_1444800.1	fructose-bisphosphate aldolase	FBPA	PF3D7_1444800	1730.81	8380.99	5417.5	6458.1	609.95	95.79	582.87	
PF3D7_1444900	PF3D7_1444900.1	conserved protein, unknown function	N/A	PF3D7_1444900	3.93	5.9	5.79	1.19	68.52	342.67	34.39	
PF3D7_1445000	PF3D7_1445000.1	prolyl hydroxylase-like protein, putative	N/A	PF3D7_1445000	4.45	1.13	13.12	6.59	26.82	185.16	48.73	
PF3D7_1445100	PF3D7_1445100.1	histidine--tRNA ligase, putative	N/A	PF3D7_1445100	81.18	33.58	29.48	6.01	4.04	7.71	6.13	
PF3D7_1445200	PF3D7_1445200.1	ATP-dependent RNA helicase MAK5, putative	MAK5	PF3D7_1445200	89.33	77.65	23.65	4.14	24	28.68	17.42	
PF3D7_1445300	PF3D7_1445300.1	ribosomal protein S29, mitochondrial, putative	N/A	PF3D7_1445300	13.95	2.28	12.2	2.39	4.07	4.04	2.46	
PF3D7_1445400	PF3D7_1445400.1	protein serine/threonine kinase-1	CLK1	PF3D7_1445400	142.62	134.26	40.9	11.47	24.62	103.51	93.31	
PF3D7_1445500	PF3D7_1445500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1445500	30.96	40.51	13.9	1.38	24.25	103	49.58	
PF3D7_1445600	PF3D7_1445600.1	RNA-binding protein, putative	N/A	PF3D7_1445600	129.59	58.42	64.12	19.36	25.16	46.96	73.08	
PF3D7_1445700	PF3D7_1445700.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1445700	94.61	139.55	87.55	14.66	21	94.54	70.42	
PF3D7_1445800	PF3D7_1445800.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_1445800	2.91	0.42	5.59	3.08	7.48	12.62	0.41	
PF3D7_1445900	PF3D7_1445900.1	ATP-dependent RNA helicase DDX5, putative	DDX5	PF3D7_1445900	519.28	372.23	262.77	55.12	120.69	87.39	219.72	
PF3D7_1446100	PF3D7_1446100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1446100	22.28	1.07	1.68	1.54	10.84	169.82	168.46	
PF3D7_1446200	PF3D7_1446200.1	M17 leucyl aminopeptidase	LAP	PF3D7_1446200	542.17	174.42	187.93	47	106.13	74.06	38.45	
PF3D7_1446300	PF3D7_1446300.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_1446300	15.77	25.83	15.88	6.23	12.31	44.4	44.09	
PF3D7_1446400	PF3D7_1446400.1	pyruvate dehydrogenase E1 component subunit beta	pdhB	PF3D7_1446400	7.49	2.58	13.23	1.98	11.57	16.8	19.07	
PF3D7_1446500	PF3D7_1446500.1	nucleoporin NUP313, putative	NUP313	PF3D7_1446500	50.79	52.9	45.66	7.84	14.03	43.03	24.28	
PF3D7_1446600	PF3D7_1446600.1	centrin-2	CEN2	PF3D7_1446600	11.73	11.18	513.5	571.57	686.79	549.75	762.73	
PF3D7_1446700	PF3D7_1446700.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1446700	5.22	13.98	73.27	48.43	62.29	155.44	41.55	
PF3D7_1446800	PF3D7_1446800.1	heme detoxification protein	HDP	PF3D7_1446800	3.85	7.93	57.09	14.03	206.23	297.28	21.66	
PF3D7_1446900	PF3D7_1446900.1	glutaminyl-peptide cyclotransferase, putative	N/A	PF3D7_1446900	49.56	80.05	84.82	35.48	36.67	302.57	111.03	
PF3D7_1447000	PF3D7_1447000.1	40S ribosomal protein S5	N/A	PF3D7_1447000	1445.4	6011.14	2089.21	2096.51	717.05	326.24	553.89	
PF3D7_1447100	PF3D7_1447100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1447100	137.88	94.38	54.93	21.35	368.26	600.73	85.48	
PF3D7_1447200	PF3D7_1447200.1	conserved protein, unknown function	N/A	PF3D7_1447200	112.63	229.59	170.5	66.98	79.72	96.55	260.98	
PF3D7_1447300	PF3D7_1447300.1	ribosomal protein S14, mitochondrial, putative	N/A	PF3D7_1447300	24.56	31.18	19.93	3.65	35.31	6.19	8.77	
PF3D7_1447400	PF3D7_1447400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1447400	20.07	8.24	3.45	0	58.68	331.38	9.76	
PF3D7_1447500	PF3D7_1447500.1	inner membrane complex protein, putative	IMC20	PF3D7_1447500	7.81	3.17	4.31	0	21.04	17.84	324.82	
PF3D7_1447600	PF3D7_1447600.1	conserved protein, unknown function	N/A	PF3D7_1447600	5.57	1.26	2.73	0	373.24	687.62	312.91	
PF3D7_1447700	PF3D7_1447700.1	conserved protein, unknown function	N/A	PF3D7_1447700	9.74	7.29	35.99	31.89	45.16	179.97	5.78	
PF3D7_1447800	PF3D7_1447800.1	calponin homology domain-containing protein, putative	N/A	PF3D7_1447800	7.01	9.35	8.9	2.7	24.1	47.14	11.73	
PF3D7_1447900	PF3D7_1447900.1	multidrug resistance protein 2	MDR2	PF3D7_1447900	11.22	79.06	27.18	6.85	1.72	7.43	5.32	
PF3D7_1448000	PF3D7_1448000.1	U3 small nucleolar RNA-associated protein 12, putative	UTP12	PF3D7_1448000	52.24	31.57	13.14	1.13	5.06	23.67	7.77	
PF3D7_1448100	PF3D7_1448100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1448100	8.96	6.51	5.32	2.11	33.53	52.07	5.06	
PF3D7_1448200	PF3D7_1448200.1	condensin-2 complex subunit G2, putative	CAPG2	PF3D7_1448200	3.66	0.89	0.97	0.17	7.39	14.94	0.82	
PF3D7_1448300	PF3D7_1448300.1	conserved protein, unknown function	N/A	PF3D7_1448300	25.9	64.22	112.41	99.68	40.6	39.51	19.02	
PF3D7_1448400	PF3D7_1448400.1	ubiquitin-protein ligase, putative	HRD3	PF3D7_1448400	6.12	15.52	61.82	21.08	20.39	43.9	31.42	
PF3D7_1448500	PF3D7_1448500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1448500	4.57	15.13	44.99	28.3	21.95	41.44	14.05	
PF3D7_1448600	PF3D7_1448600.1	SNARE protein, putative	VTI1	PF3D7_1448600	43.26	57.5	39.4	31.69	85.48	962.75	163.96	
PF3D7_1448700	PF3D7_1448700.1	HSP20-like chaperone, putative	N/A	PF3D7_1448700	20.52	24.46	10.49	9.27	12.65	81.21	20.78	
PF3D7_1448800	PF3D7_1448800.1	Appr-1-p processing domain protein	N/A	PF3D7_1448800	5.6	5.61	12.53	0	89.85	148.01	163.44	
PF3D7_1448900	PF3D7_1448900.1	conserved protein, unknown function	N/A	PF3D7_1448900	1.49	3.36	70.23	19.01	1107.19	925.36	267.46	
PF3D7_1449000	PF3D7_1449000.1	gamete egress and sporozoite traversal protein, putative	GEST	PF3D7_1449000	3.64	0.21	6.7	3.32	189	203.55	1188.67	
PF3D7_1449100	PF3D7_1449100.1	CLASP domain-containing protein, putative	N/A	PF3D7_1449100	4.23	0.79	52.47	79.15	33.5	46.83	42.36	
PF3D7_1449200	PF3D7_1449200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1449200	33.59	11.87	1664.19	7044.01	369.82	43.9	536.13	
PF3D7_1449300	PF3D7_1449300.1	transcription factor IIIb subunit, putative	BRF1	PF3D7_1449300	48.53	16.92	34.7	24.71	5.65	17.35	2.9	
PF3D7_1449400	PF3D7_1449400.1	crossover junction endonuclease MUS81, putative	MUS81	PF3D7_1449400	2.76	2.09	14.79	7.95	2.86	4.12	235.81	
PF3D7_1449500	PF3D7_1449500.1	AP2 domain transcription factor AP2-O5, putative	ApiAP2	PF3D7_1449500	19.22	25.32	64.94	21.33	23.6	78.01	42.93	
PF3D7_1449600	PF3D7_1449600.1	conserved protein, unknown function	N/A	PF3D7_1449600	7.63	4.75	10.98	18.8	8.83	58.7	63.81	
PF3D7_1449700	PF3D7_1449700.1	exosome complex exonuclease RRP6	RRP6	PF3D7_1449700	29.14	23.22	15.44	4.54	5.88	31.79	8.28	
PF3D7_1449800	PF3D7_1449800.1	conserved protein, unknown function	N/A	PF3D7_1449800	33.73	20.08	28.58	6.96	62.64	116.64	33.42	
PF3D7_1449900	PF3D7_1449900.1	conserved protein, unknown function	N/A	PF3D7_1449900	7.31	8.54	12.47	3.03	65.73	278.61	13.09	
PF3D7_1450000	PF3D7_1450000.1	serine/threonine protein kinase, putative	N/A	PF3D7_1450000	25.39	51.47	31.19	9.31	14.32	34.68	31.56	
PF3D7_1450100	PF3D7_1450100.1	signal recognition particle subunit SRP54	SRP54	PF3D7_1450100	344.8	140.75	138.84	167.67	27.17	30.7	49.48	
PF3D7_1450200	PF3D7_1450200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1450200	33.45	8.85	10.18	0	25.87	29.72	0	
PF3D7_1450300	PF3D7_1450300.1	NADPH--cytochrome P450 reductase, putative	CPR	PF3D7_1450300	47.09	9.49	13.96	3.34	5.96	23.73	0	
PF3D7_1450400	PF3D7_1450400.1	E3 ubiquitin-protein ligase ZNF598, putative	N/A	PF3D7_1450400	36.53	28.95	26.35	20.92	8.14	31.64	26.07	
PF3D7_1450500	PF3D7_1450500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1450500	6.06	2.01	44	42.55	21.36	30.09	19.48	
PF3D7_1450600	PF3D7_1450600.1	S-adenosylmethionine-dependent methyltransferase, putative	N/A	PF3D7_1450600	55.77	26.05	18.72	2.46	9.38	19.74	3.37	
PF3D7_1450700	PF3D7_1450700.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1450700	103.52	64.63	41.9	13.63	26.46	44.69	84.63	
PF3D7_1450800	PF3D7_1450800.1	conserved protein, unknown function	N/A	PF3D7_1450800	7.17	1.7	7.88	2.29	4.96	16.62	2.2	
PF3D7_1450900	PF3D7_1450900.1	acetyl-CoA acetyltransferase, putative	N/A	PF3D7_1450900	12.21	3.84	24.35	1.03	6.47	18.05	2.49	
PF3D7_1451000	PF3D7_1451000.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1451000	37.78	34.44	14.71	0.77	4.67	12.85	4.93	
PF3D7_1451100	PF3D7_1451100.1	elongation factor 2	eEF2	PF3D7_1451100	1586.73	3070.3	2041.33	789.43	232.04	41.88	203.55	
PF3D7_1451200	PF3D7_1451200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1451200	321.12	258.74	162.57	28.53	12.87	28.2	173.27	
PF3D7_1451300	PF3D7_1451300.1	E3 SUMO-protein ligase NSE2, putative	NSE2	PF3D7_1451300	21.18	31.53	157.38	87.05	218.39	237.38	36.64	
PF3D7_1451400	PF3D7_1451400.1	transcriptional regulatory protein sir2b	Sir2B	PF3D7_1451400	10.33	13.15	8.69	2.85	2.25	5.04	4.18	
PF3D7_1451500	PF3D7_1451500.1	pre-mRNA-splicing factor CWF18, putative	N/A	PF3D7_1451500	16.84	15.18	9.58	0	42.82	67.07	0	
PF3D7_1451600	PF3D7_1451600.1	LCCL domain-containing protein	LAP5	PF3D7_1451600	3.53	1.12	2.55	5.01	5.83	49.08	101.33	
PF3D7_1451700	PF3D7_1451700.1	calcineurin subunit B	CNB	PF3D7_1451700	4.14	1.15	89.73	77.69	69.23	164.95	22.28	
PF3D7_1451800	PF3D7_1451800.1	sortilin	SORTLR	PF3D7_1451800	11.69	73	263.8	146.28	16.63	60.08	106.79	
PF3D7_1451900	PF3D7_1451900.1	ribosome biogenesis protein TSR1, putative	TSR1	PF3D7_1451900	57.3	48.53	30.12	20.64	8.43	13.37	13	
PF3D7_1452000	PF3D7_1452000.1	rhoptry neck protein 2	RON2	PF3D7_1452000	4.71	1.28	97.55	188.21	9	10.69	39.62	
PF3D7_1452100	PF3D7_1452100.1	leucine-rich repeat protein	LRR3	PF3D7_1452100	3.34	3.92	1.48	2.44	15.23	124.35	0	
PF3D7_1452200	PF3D7_1452200.1	aminomethyltransferase, putative	N/A	PF3D7_1452200	2.37	2.24	1.59	1.57	3.58	16.51	1.89	
PF3D7_1452300	PF3D7_1452300.1	DER1-like protein	DER1-1	PF3D7_1452300	2.55	1.01	12.45	1.74	12.89	44.11	2.79	
PF3D7_1452400	PF3D7_1452400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1452400	35.39	49.93	30.18	6.64	14.2	114.06	43.47	
PF3D7_1452500	PF3D7_1452500.1	syntaxin-6, putative	STX6	PF3D7_1452500	8.28	4.82	41.9	29.21	42.07	338.66	30.4	
PF3D7_1452600	PF3D7_1452600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1452600	13.38	6.01	11.2	8.75	7.99	28.27	4	
PF3D7_1452700	PF3D7_1452700.1	U1 snRNP-associated protein, putative	N/A	PF3D7_1452700	10.59	113.49	104.81	42.26	43.88	33.19	22.07	
PF3D7_1452800	PF3D7_1452800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1452800	3.09	2.78	3.73	0	18.72	76.16	17.36	
PF3D7_1452900	PF3D7_1452900.1	conserved protein, unknown function	N/A	PF3D7_1452900	2.47	2.01	10.2	6.31	189.62	783.64	164.54	
PF3D7_1453000	PF3D7_1453000.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1453000	19.26	14.3	11.59	4.65	5.16	20.63	5.32	
PF3D7_1453100	PF3D7_1453100.1	dynactin subunit 4, putative	N/A	PF3D7_1453100	3.68	0.57	6.74	5.89	2.42	39.22	7.86	
PF3D7_1453200	PF3D7_1453200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1453200	2.54	0.68	10.06	8.55	4	13.74	8.95	
PF3D7_1453300	PF3D7_1453300.1	Yos1-like protein, putative	N/A	PF3D7_1453300	1.47	1.33	9.21	5.36	25.91	4.54	0	
PF3D7_1453400	PF3D7_1453400.1	gamma-tubulin complex component, putative	N/A	PF3D7_1453400	6.42	9.02	13.39	8.47	5.61	27.21	3.09	
PF3D7_1453500	PF3D7_1453500.1	NAD(P) transhydrogenase, putative	NTH	PF3D7_1453500	3.95	1.08	2.37	0.88	16.25	274.94	30.33	
PF3D7_1453600	PF3D7_1453600.1	RAP protein, putative	N/A	PF3D7_1453600	2.26	5.15	2.27	0.36	14.28	102.27	1.44	
PF3D7_1453700	PF3D7_1453700.1	HSP90 co-chaperone p23	P23	PF3D7_1453700	1051.28	2555.34	1486.75	222.1	3550.95	959.21	443.68	
PF3D7_1453800	PF3D7_1453800.1	glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase	GluPho	PF3D7_1453800	67.02	23.54	38.96	26.73	17.78	21.87	4.35	
PF3D7_1453900	PF3D7_1453900.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1453900	42.39	16.24	11.62	3	10.98	27.76	10.82	
PF3D7_1454000	PF3D7_1454000.1	RNA-binding protein, putative	N/A	PF3D7_1454000	17.48	28.62	21.58	3.63	10.31	30.04	23.24	
PF3D7_1454100	PF3D7_1454100.1	tRNA intron endonuclease, putative	N/A	PF3D7_1454100	6.36	2.08	11.91	0	11.98	33.53	10.12	
PF3D7_1454200	PF3D7_1454200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1454200	17.33	26.13	6.92	0.88	10.52	29.9	8.12	
PF3D7_1454300	PF3D7_1454300.1	SNF1-related serine/threonine protein kinase KIN	KIN	PF3D7_1454300	6.36	3.2	2.72	0.54	13.18	42.16	9.06	
PF3D7_1454400	PF3D7_1454400.1	aminopeptidase P	APP	PF3D7_1454400	170.06	449.78	202.34	64.47	39.37	46.28	54.8	
PF3D7_1454500	PF3D7_1454500.1	iron-sulfur cluster assembly protein ISU, putative	ISU	PF3D7_1454500	39.96	56.7	50.66	22.79	772.55	271.91	112.54	
PF3D7_1454600	PF3D7_1454600.1	ribosomal protein S11, mitochondrial, putative	N/A	PF3D7_1454600	19.21	15.54	24.66	5.38	22.96	49.24	8.62	
PF3D7_1454700	PF3D7_1454700.1	6-phosphogluconate dehydrogenase, decarboxylating	6PGD	PF3D7_1454700	57.36	58.68	218.73	137.31	19.77	15.65	32.77	
PF3D7_1454800	PF3D7_1454800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1454800	6.87	0.31	0.51	2.5	83.93	2087.93	204.32	
PF3D7_1454900	PF3D7_1454900.1	conserved protein, unknown function	N/A	PF3D7_1454900	18.64	1.98	8.34	1.33	10570.61	14273.91	1979.91	
PF3D7_1455000	PF3D7_1455000.1	protein phosphatase PPM3, putative	PPM3	PF3D7_1455000	4.82	2.61	3.25	5.02	15.13	53.41	51.87	
PF3D7_1455100	PF3D7_1455100.1	protein tyrosine phosphatase, putative	PTP1	PF3D7_1455100	80.68	297.47	71.52	13.2	133.05	290.61	187.36	
PF3D7_1455200	PF3D7_1455200.1	methyltransferase, putative	N/A	PF3D7_1455200	4.95	25.04	61.74	18.03	67.22	27.49	21.66	
PF3D7_1455200	PF3D7_1455200.2	unspecified product	N/A	PF3D7_1455200	4.95	25.04	61.74	18.03	67.22	27.49	21.66	
PF3D7_1455300	PF3D7_1455300.1	conserved protein, unknown function	N/A	PF3D7_1455300	9.36	31.42	112.96	168.9	25.55	83.87	114.41	
PF3D7_1455400	PF3D7_1455400.1	hemolysin III	HlyIII	PF3D7_1455400	37.02	32.48	46.86	12.4	116.53	123.51	40.29	
PF3D7_1455500	PF3D7_1455500.1	AP-1 complex subunit gamma, putative	N/A	PF3D7_1455500	27.06	34.69	47.87	31.28	37.53	30.69	21.99	
PF3D7_1455600	PF3D7_1455600.1	ferlin, putative	FER2	PF3D7_1455600	4.25	0.46	7.29	14.52	2.28	2.35	0.78	
PF3D7_1455700	PF3D7_1455700.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1455700	3.05	1.56	21.55	14.74	10.34	24.97	25.29	
PF3D7_1455800	PF3D7_1455800.1	LCCL domain-containing protein	CCp2	PF3D7_1455800	3.75	0.82	2.11	0.38	15.81	54.96	27.58	
PF3D7_1455900	PF3D7_1455900.1	polyprenol reductase, putative	N/A	PF3D7_1455900	4.75	0.71	37.18	11.55	64.42	163.04	10.4	
PF3D7_1456000	PF3D7_1456000.1	AP2 domain transcription factor, putative	ApiAP2	PF3D7_1456000	2.92	1.11	29.15	12.16	10.93	17.9	14.42	
PF3D7_1456100	PF3D7_1456100.1	serine hydroxymethyltransferase	SHMT	PF3D7_1456100	3.18	2.54	2.88	0	24.08	24.01	0	
PF3D7_1456200	PF3D7_1456200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1456200	1.35	1.11	1.94	0.21	1.45	3.18	1.02	
PF3D7_1456300	PF3D7_1456300.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1456300	20.42	11.42	4.21	2.98	49.37	78.65	2.38	
PF3D7_1456400	PF3D7_1456400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1456400	2.56	0.35	0.94	0.2	2.08	24.22	9.27	
PF3D7_1456500	PF3D7_1456500.1	STAG domain-containing protein, putative	N/A	PF3D7_1456500	3.93	3.48	26.24	9.15	10.5	135.61	30.88	
PF3D7_1456600	PF3D7_1456600.1	ribosomal protein L28, mitochondrial, putative	N/A	PF3D7_1456600	9.24	6.34	15.08	9.51	116.11	13.14	8.79	
PF3D7_1456700	PF3D7_1456700.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1456700	52.17	50.76	146.78	62.07	101.6	62.25	24.61	
PF3D7_1456800	PF3D7_1456800.1	V-type H(+)-translocating pyrophosphatase, putative	VP1	PF3D7_1456800	672.39	812.02	431.48	204.96	52.14	37.39	27.62	
PF3D7_1456900	PF3D7_1456900.1	conserved protein, unknown function	N/A	PF3D7_1456900	66.59	10.7	18.31	6.97	47.58	63.77	6.7	
PF3D7_1457000	PF3D7_1457000.1	signal peptide peptidase	SPP	PF3D7_1457000	132.2	232.81	478.91	275.87	275.07	642.38	172.86	
PF3D7_1457100	PF3D7_1457100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1457100	12.27	14.2	13.16	3.86	6.59	188.6	285.01	
PF3D7_1457200	PF3D7_1457200.1	thioredoxin 1	TRX1	PF3D7_1457200	118.67	149.3	1411.1	1299.34	2131.46	1541.98	434.4	
PF3D7_1457300	PF3D7_1457300.1	MA3 domain-containing protein, putative	N/A	PF3D7_1457300	160.27	83.38	69.33	25.16	17.05	72.86	22.46	
PF3D7_1457400	PF3D7_1457400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1457400	18.2	8.97	9.42	5.2	4.95	14.23	3.41	
PF3D7_1457500	PF3D7_1457500.1	vacuolar protein sorting-associated protein 4	VPS4	PF3D7_1457500	8.77	4.26	35.94	27.52	25.71	119.51	60.2	
PF3D7_1457600	PF3D7_1457600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1457600	15.03	16.31	16.94	8.2	7.2	28.39	11.63	
PF3D7_1457700	PF3D7_1457700.1	large ribosomal subunit nuclear export factor, putative	N/A	PF3D7_1457700	53.23	95.32	16.49	2.09	6.9	20.51	12.4	
PF3D7_1457800	PF3D7_1457800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1457800	6.85	1.92	5.96	3.28	5.12	19.7	30.49	
PF3D7_1457900	PF3D7_1457900.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1457900	8.55	7.68	17.59	15.89	8.66	25.24	4.88	
PF3D7_1458000	PF3D7_1458000.1	cysteine proteinase falcipain 1	FP1	PF3D7_1458000	79.29	85.28	54.58	23.17	19.77	44.89	28.7	
PF3D7_1458100	PF3D7_1458100.1	protein PET117, putative	PET117	PF3D7_1458100	29.76	4.33	37.46	7	121.34	203.8	16.81	
PF3D7_1458200	PF3D7_1458200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1458200	31.13	5.06	26.67	14.88	91.98	115.88	0	
PF3D7_1458300	PF3D7_1458300.1	alpha/beta hydrolase, putative	N/A	PF3D7_1458300	6.04	1.1	28.53	31.18	7.45	13.95	5.51	
PF3D7_1458400	PF3D7_1458400.1	aminodeoxychorismate lyase	ADCL	PF3D7_1458400	8.4	6.77	8.81	3.26	6.29	7.06	0	
PF3D7_1458500	PF3D7_1458500.1	spindle assembly abnormal protein 4, putative	SAS4	PF3D7_1458500	4.85	1.35	16	11.37	8.3	25.01	9.11	
PF3D7_1458600	PF3D7_1458600.1	zinc finger protein, putative	N/A	PF3D7_1458600	53.28	14.17	16.12	4.96	11.49	20.12	3.41	
PF3D7_1458700	PF3D7_1458700.1	exonuclease V, mitochondrial, putative	N/A	PF3D7_1458700	3.52	3.17	46.06	18.07	17.9	21.33	9.8	
PF3D7_1458800	PF3D7_1458800.1	DNA-directed RNA polymerase III subunit RPC5, putative	N/A	PF3D7_1458800	7.85	8.61	5.59	0.48	8.94	20.58	4.58	
PF3D7_1458900	PF3D7_1458900.1	golgi apparatus membrane protein TVP23, putative	TVP23	PF3D7_1458900	25.74	4.2	14.62	4.47	44.2	113.79	0	
PF3D7_1459000	PF3D7_1459000.1	ATP-dependent RNA helicase DBP5	DBP5	PF3D7_1459000	152.36	61.04	105.55	24.2	23.72	20.92	159.69	
PF3D7_1459100	PF3D7_1459100.1	GTP-binding protein, putative	N/A	PF3D7_1459100	6.25	3.26	3.71	0.78	3.38	10.6	0	
PF3D7_1459200	PF3D7_1459200.1	WD repeat-containing protein, putative	N/A	PF3D7_1459200	29.03	31.3	23.9	8.42	25.78	23.4	19.19	
PF3D7_1459300	PF3D7_1459300.1	OPA3-like protein, putative	N/A	PF3D7_1459300	11.03	3.22	14.49	5.43	30.88	90.88	5.22	
PF3D7_1459400	PF3D7_1459400.1	conserved protein, unknown function	N/A	PF3D7_1459400	72.42	8.83	70.07	65.98	59.2	116.24	7.27	
PF3D7_1459500	PF3D7_1459500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1459500	2.44	3.09	1.58	0.42	5.78	4.67	0	
PF3D7_1459600	PF3D7_1459600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1459600	29.1	17.13	52.99	23.68	10.24	23.71	16.07	
PF3D7_1459700	PF3D7_1459700.1	pyridoxal 5'-phosphate synthase, putative	N/A	PF3D7_1459700	7.87	6.21	62.26	22.93	73.35	40.54	29.26	
PF3D7_1459800	PF3D7_1459800.1	bax inhibitor 1, putative	N/A	PF3D7_1459800	78.46	135.19	224.92	115.89	2188.45	2176.32	174.74	
PF3D7_1459900	PF3D7_1459900.1	rhoptry protein, putative	N/A	PF3D7_1459900	3.5	1.05	10.32	17.02	9.07	20.18	89.44	
PF3D7_1460000	PF3D7_1460000.1	biotin--protein ligase 2	HCS2	PF3D7_1460000	2.1	0.35	1.27	0	16.65	24.8	8.37	
PF3D7_1460100	PF3D7_1460100.1	FYVE and coiled-coil domain-containing protein	FCP	PF3D7_1460100	23.11	29.76	20.08	3.8	54	153.11	91.25	
PF3D7_1460200	PF3D7_1460200.1	conserved protein, unknown function	N/A	PF3D7_1460200	15.26	8.12	18.68	8.71	25.15	44.03	149.7	
PF3D7_1460300	PF3D7_1460300.1	60S ribosomal protein L29, putative	RPL29	PF3D7_1460300	150.76	557.18	194.4	78.92	374.51	226.17	466.61	
PF3D7_1460400	PF3D7_1460400.1	ubiquitin carboxyl-terminal hydrolase isozyme L3	UCHL3	PF3D7_1460400	100.63	96.21	86.09	7.97	1218.41	381.64	263.85	
PF3D7_1460500	PF3D7_1460500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1460500	3.61	4.5	18.97	9.35	7.98	23.59	9.41	
PF3D7_1460600	PF3D7_1460600.1	inner membrane complex sub-compartment protein 3	ISP3	PF3D7_1460600	2.66	0.34	17.91	31.86	14.18	139.82	33.27	
PF3D7_1460700	PF3D7_1460700.1	60S ribosomal protein L27	RPL27	PF3D7_1460700	308.62	791.64	278.01	101.09	568.43	129.35	195.61	
PF3D7_1460800	PF3D7_1460800.1	snRNA-activating protein complex subunit 3, putative	SNAPC3	PF3D7_1460800	3.56	4.9	10.29	6.82	24.54	26.05	45.99	
PF3D7_1460900	PF3D7_1460900.1	ribosomal protein S10, apicoplast, putative	ARPS10	PF3D7_1460900	4.74	5.57	34.73	20.26	92.61	228.03	36.06	
PF3D7_1460900	PF3D7_1460900.2	ribosomal protein S10, apicoplast, putative	ARPS10	PF3D7_1460900	4.74	5.57	34.73	20.26	92.61	228.03	36.06	
PF3D7_1461000	PF3D7_1461000.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1461000	2.28	3.19	6.14	1.66	13.72	98.8	12.99	
PF3D7_1461100	PF3D7_1461100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1461100	3.15	3.83	17.22	18.74	4.97	50.78	15.01	
PF3D7_1461200	PF3D7_1461200.1	U3 small nucleolar ribonucleoprotein protein IMP3, putative	IMP3	PF3D7_1461200	44.63	27.47	12.92	4.49	195.17	237.46	21.56	
PF3D7_1461300	PF3D7_1461300.1	40S ribosomal protein S28e, putative	N/A	PF3D7_1461300	692.14	1703.08	1019.24	506.89	5365.71	919.09	277.05	
